"hgnc_symbol","chromosome_name","start_position","end_position"
"MT-TF","MT",577,647
"MT-RNR1","MT",648,1601
"MT-TV","MT",1602,1670
"MT-RNR2","MT",1671,3229
"MT-TL1","MT",3230,3304
"MT-ND1","MT",3307,4262
"MT-TI","MT",4263,4331
"MT-TQ","MT",4329,4400
"MT-TM","MT",4402,4469
"MT-ND2","MT",4470,5511
"MT-TW","MT",5512,5579
"MT-TA","MT",5587,5655
"MT-TN","MT",5657,5729
"MT-TC","MT",5761,5826
"MT-TY","MT",5826,5891
"MT-CO1","MT",5904,7445
"MT-TS1","MT",7446,7514
"MT-TD","MT",7518,7585
"MT-CO2","MT",7586,8269
"MT-TK","MT",8295,8364
"MT-ATP8","MT",8366,8572
"MT-ATP6","MT",8527,9207
"MT-CO3","MT",9207,9990
"MT-TG","MT",9991,10058
"MT-ND3","MT",10059,10404
"MT-TR","MT",10405,10469
"MT-ND4L","MT",10470,10766
"MT-ND4","MT",10760,12137
"MT-TH","MT",12138,12206
"MT-TS2","MT",12207,12265
"MT-TL2","MT",12266,12336
"MT-ND5","MT",12337,14148
"MT-ND6","MT",14149,14673
"MT-TE","MT",14674,14742
"MT-CYB","MT",14747,15887
"MT-TT","MT",15888,15953
"MT-TP","MT",15956,16023
"","KI270741.1",44347,130844
"","KI270741.1",9471,39242
"","KI270442.1",380608,380726
"","KI270711.1",4612,29626
"","GL000009.2",56140,58376
"","KI270744.1",51009,51114
"","KI270748.1",68953,85760
"","GL000224.1",102473,119953
"","KI270748.1",84835,92032
"","GL000224.1",30534,33767
"","GL000224.1",67572,97360
"","GL000221.1",198,80044
"","GL000220.1",105287,105376
"","KI270753.1",43135,44491
"","KI270755.1",26350,27723
"","KI270734.1",59711,60316
"","GL000214.1",30345,106038
"","KI270442.1",217250,217401
"RNA5-8SN5","GL000220.1",112025,112177
"","KI270744.1",90023,112250
"","GL000009.2",35394,38152
"","KI270442.1",384845,385228
"","GL000220.1",155997,156149
"","GL000220.1",149259,149348
"","GL000009.2",5121,35307
"","KI270734.1",138082,161852
"","KI270442.1",378910,380941
"","GL000220.1",4413,7660
"","KI270744.1",5313,80720
"","GL000220.1",147633,148469
"","GL000220.1",97136,122360
"","GL000220.1",103657,104499
"","GL000009.2",39426,124849
"","GL000213.1",108007,139659
"","KI270744.1",424,6215
"","KI270751.1",2579,73732
"","KI270744.1",65348,66807
"","KI270744.1",142831,150130
"","KI270744.1",124346,140980
"","KI270711.1",31434,32450
"","KI270745.1",29592,38652
"","KI270734.1",131494,137392
"","KI270734.1",72411,74814
"","KI270720.1",3633,31375
"","KI270745.1",31023,38297
"","KI270734.1",12391,52469
"","GL000213.1",127840,127946
"","GL000213.1",1096,26029
"","KI270734.1",90950,98156
"","KI270734.1",77655,81153
"","KI270734.1",83271,85531
"","GL000213.1",84392,86381
"","KI270734.1",109600,110784
"","GL000195.1",37434,37534
"","GL000195.1",42939,49164
"","GL000195.1",110909,121354
"","GL000195.1",2579,87094
"","GL000214.1",31951,113403
"","KI270743.1",68204,204482
"","GL000218.1",51867,54893
"","KI270717.1",15119,17798
"","KI270717.1",24947,37269
"","KI270718.1",6913,19848
"","GL000218.1",6104,97659
"","GL000009.2",82837,122979
"","GL000009.2",43294,56215
"","KI270713.1",30437,30580
"","GL000009.2",184591,186420
"","KI270713.1",35407,35916
"","KI270713.1",31698,32528
"","KI270713.1",21861,22024
"","KI270726.1",41444,41876
"","KI270713.1",13389,25193
"","KI270726.1",26241,26534
"","GL000194.1",53590,115018
"","KI270722.1",183300,187489
"","KI270726.1",3639,14314
"MAFIP","GL000194.1",53594,115055
"","GL000225.1",183252,183364
"","KI270726.1",4771,5305
"","GL000225.1",170773,206442
"","KI270722.1",2027,7875
"","GL000008.2",83332,200303
"","KI270726.1",1977,3628
